event_id,access_point_id,access_point_name,zone_id,risk_level,employee_id,timestamp,access_granted,is_anomaly,anomaly_type
EVT-0000019,AP-01,Main Entrance,ZN-06,low,EMP-0016,2026-07-20 10:14:16,True,False,
EVT-0027039,AP-06,Loading Dock,,medium,EMP-0025,2026-07-20 10:14:17,True,False,
EVT-0016263,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0066,2026-07-20 10:14:21,True,False,
EVT-0008263,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0019,2026-07-20 10:14:24,True,False,
EVT-0016267,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0131,2026-07-20 10:15:18,True,False,
EVT-0008269,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0081,2026-07-20 10:15:22,True,False,
EVT-0029255,AP-07,Emergency Exit - East,,medium,EMP-0123,2026-07-20 10:15:45,True,False,
EVT-0008267,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0123,2026-07-20 10:16:08,True,False,
EVT-0000020,AP-01,Main Entrance,ZN-06,low,EMP-0085,2026-07-20 10:16:20,True,False,
EVT-0029256,AP-07,Emergency Exit - East,,medium,EMP-0077,2026-07-20 10:16:34,True,False,
EVT-0016268,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0024,2026-07-20 10:17:20,True,False,
EVT-0008266,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0040,2026-07-20 10:17:23,True,False,
EVT-0024313,AP-04,Server Room Door,ZN-07,high,EMP-0016,2026-07-20 10:17:34,False,True,unauthorized_restricted_zone_access
EVT-0008268,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0062,2026-07-20 10:17:56,True,False,
EVT-0027042,AP-06,Loading Dock,,medium,EMP-0092,2026-07-20 10:18:00,True,False,
EVT-0000021,AP-01,Main Entrance,ZN-06,low,EMP-0024,2026-07-20 10:18:07,True,False,
EVT-0000022,AP-01,Main Entrance,ZN-06,low,EMP-0107,2026-07-20 10:18:54,True,False,
EVT-0000023,AP-01,Main Entrance,ZN-06,low,EMP-0127,2026-07-20 10:19:07,True,False,
EVT-0016269,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0023,2026-07-20 10:19:13,True,False,
EVT-0008265,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0104,2026-07-20 10:19:20,True,False,
EVT-0027041,AP-06,Loading Dock,,medium,EMP-0001,2026-07-20 10:19:46,True,False,
EVT-0000025,AP-01,Main Entrance,ZN-06,low,EMP-0007,2026-07-20 10:20:17,True,False,
EVT-0000030,AP-01,Main Entrance,ZN-06,low,EMP-0099,2026-07-20 10:20:54,True,False,
EVT-0027044,AP-06,Loading Dock,,medium,EMP-0045,2026-07-20 10:20:55,True,False,
EVT-0008271,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0079,2026-07-20 10:21:11,True,False,
EVT-0000029,AP-01,Main Entrance,ZN-06,low,EMP-0002,2026-07-20 10:21:53,True,False,
EVT-0000027,AP-01,Main Entrance,ZN-06,low,EMP-0010,2026-07-20 10:22:08,True,False,
EVT-0008270,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0041,2026-07-20 10:22:09,True,False,
EVT-0016271,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0043,2026-07-20 10:22:10,True,False,
EVT-0016272,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0078,2026-07-20 10:22:27,True,False,
EVT-0000028,AP-01,Main Entrance,ZN-06,low,EMP-0110,2026-07-20 10:22:32,True,False,
EVT-0024788,AP-05,Executive Wing Door,ZN-08,medium,EMP-0048,2026-07-20 10:22:42,True,False,
EVT-0008272,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0028,2026-07-20 10:22:47,True,False,
EVT-0016270,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0080,2026-07-20 10:23:11,True,False,
EVT-0000024,AP-01,Main Entrance,ZN-06,low,EMP-0021,2026-07-20 10:23:19,True,False,
EVT-0027043,AP-06,Loading Dock,,medium,EMP-0129,2026-07-20 10:24:31,True,False,
EVT-0016273,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0137,2026-07-20 10:24:42,True,False,
EVT-0000026,AP-01,Main Entrance,ZN-06,low,EMP-0115,2026-07-20 10:24:51,True,False,
EVT-0008274,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0116,2026-07-20 10:26:05,True,False,
EVT-0016277,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0008,2026-07-20 10:26:05,True,False,
EVT-0000031,AP-01,Main Entrance,ZN-06,low,EMP-0129,2026-07-20 10:26:21,True,False,
EVT-0024314,AP-04,Server Room Door,ZN-07,high,EMP-0008,2026-07-20 10:26:37,False,True,unauthorized_restricted_zone_access
EVT-0027045,AP-06,Loading Dock,,medium,EMP-0133,2026-07-20 10:27:01,True,False,
EVT-0027046,AP-06,Loading Dock,,medium,EMP-0138,2026-07-20 10:27:10,True,False,
EVT-0029257,AP-07,Emergency Exit - East,,medium,EMP-0108,2026-07-20 10:27:42,True,False,
EVT-0016275,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0108,2026-07-20 10:28:40,True,False,
EVT-0008273,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0012,2026-07-20 10:28:44,True,False,
EVT-0016274,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0036,2026-07-20 10:28:52,True,False,
EVT-0016276,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0080,2026-07-20 10:28:56,True,False,
EVT-0008275,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0076,2026-07-20 10:29:18,True,False,
EVT-0024789,AP-05,Executive Wing Door,ZN-08,medium,EMP-0017,2026-07-20 10:30:21,True,False,
EVT-0000035,AP-01,Main Entrance,ZN-06,low,EMP-0082,2026-07-20 10:30:55,True,False,
EVT-0000032,AP-01,Main Entrance,ZN-06,low,EMP-0061,2026-07-20 10:31:39,True,False,
EVT-0016280,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0058,2026-07-20 10:31:49,True,False,
EVT-0016278,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0086,2026-07-20 10:31:54,True,False,
EVT-0008276,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0003,2026-07-20 10:32:10,True,False,
EVT-0000033,AP-01,Main Entrance,ZN-06,low,EMP-0007,2026-07-20 10:32:43,True,False,
EVT-0029258,AP-07,Emergency Exit - East,,medium,EMP-0018,2026-07-20 10:33:06,True,False,
EVT-0016279,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0046,2026-07-20 10:33:47,True,False,
EVT-0008277,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0041,2026-07-20 10:34:05,True,False,
EVT-0027047,AP-06,Loading Dock,,medium,EMP-0050,2026-07-20 10:34:41,True,False,
EVT-0000034,AP-01,Main Entrance,ZN-06,low,EMP-0127,2026-07-20 10:34:57,True,False,
EVT-0000038,AP-01,Main Entrance,ZN-06,low,EMP-0128,2026-07-20 10:35:42,True,False,
EVT-0016282,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0122,2026-07-20 10:35:54,True,False,
EVT-0029259,AP-07,Emergency Exit - East,,medium,EMP-0054,2026-07-20 10:36:12,True,False,
EVT-0016283,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0054,2026-07-20 10:36:26,True,False,
EVT-0008278,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0093,2026-07-20 10:36:27,True,False,
EVT-0027049,AP-06,Loading Dock,,medium,EMP-0039,2026-07-20 10:36:49,True,False,
EVT-0016281,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0050,2026-07-20 10:36:53,True,False,
EVT-0027048,AP-06,Loading Dock,,medium,EMP-0133,2026-07-20 10:38:04,True,False,
EVT-0029260,AP-07,Emergency Exit - East,,medium,EMP-0036,2026-07-20 10:38:19,True,False,
EVT-0000036,AP-01,Main Entrance,ZN-06,low,EMP-0138,2026-07-20 10:38:20,True,False,
EVT-0000037,AP-01,Main Entrance,ZN-06,low,EMP-0025,2026-07-20 10:38:59,True,False,
EVT-0008279,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0099,2026-07-20 10:39:22,True,False,
EVT-0008280,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0091,2026-07-20 10:39:35,True,False,
EVT-0024790,AP-05,Executive Wing Door,ZN-08,medium,EMP-0061,2026-07-20 10:39:42,True,False,
EVT-0016287,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0024,2026-07-20 10:40:24,True,False,
EVT-0000043,AP-01,Main Entrance,ZN-06,low,EMP-0006,2026-07-20 10:40:40,True,False,
EVT-0000040,AP-01,Main Entrance,ZN-06,low,EMP-0129,2026-07-20 10:41:23,True,False,
EVT-0008283,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0080,2026-07-20 10:41:27,True,False,
EVT-0008284,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0002,2026-07-20 10:41:34,True,False,
EVT-0000039,AP-01,Main Entrance,ZN-06,low,EMP-0120,2026-07-20 10:42:14,True,False,
EVT-0016289,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0102,2026-07-20 10:42:31,True,False,
EVT-0016284,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0017,2026-07-20 10:42:33,True,False,
EVT-0016285,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0118,2026-07-20 10:43:00,True,False,
EVT-0016286,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0067,2026-07-20 10:43:06,True,False,
EVT-0008282,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0140,2026-07-20 10:43:07,True,False,
EVT-0024791,AP-05,Executive Wing Door,ZN-08,medium,EMP-0045,2026-07-20 10:43:25,True,False,
EVT-0016288,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0001,2026-07-20 10:43:38,True,False,
EVT-0000041,AP-01,Main Entrance,ZN-06,low,EMP-0065,2026-07-20 10:44:26,True,False,
EVT-0000042,AP-01,Main Entrance,ZN-06,low,EMP-0048,2026-07-20 10:44:32,True,False,
EVT-0008281,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0039,2026-07-20 10:44:37,True,False,
EVT-0000048,AP-01,Main Entrance,ZN-06,low,EMP-0108,2026-07-20 10:45:35,True,False,
EVT-0016293,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0108,2026-07-20 10:46:09,True,False,
EVT-0016292,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0107,2026-07-20 10:46:17,False,True,repeated_denial
EVT-0000047,AP-01,Main Entrance,ZN-06,low,EMP-0009,2026-07-20 10:46:35,True,False,
EVT-0008286,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0111,2026-07-20 10:47:13,True,False,
EVT-0016295,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0114,2026-07-20 10:47:21,True,False,
EVT-0029261,AP-07,Emergency Exit - East,,medium,EMP-0085,2026-07-20 10:47:32,True,False,
EVT-0016291,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0009,2026-07-20 10:47:48,True,False,
EVT-0016294,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0013,2026-07-20 10:47:54,True,False,
EVT-0000044,AP-01,Main Entrance,ZN-06,low,EMP-0030,2026-07-20 10:48:41,True,False,
EVT-0008285,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0087,2026-07-20 10:48:53,True,False,
EVT-0016290,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0005,2026-07-20 10:49:04,True,False,
EVT-0027050,AP-06,Loading Dock,,medium,EMP-0025,2026-07-20 10:49:14,True,False,
EVT-0027051,AP-06,Loading Dock,,medium,EMP-0028,2026-07-20 10:49:22,True,False,
EVT-0000046,AP-01,Main Entrance,ZN-06,low,EMP-0080,2026-07-20 10:49:46,True,False,
EVT-0000045,AP-01,Main Entrance,ZN-06,low,EMP-0076,2026-07-20 10:49:52,True,False,
EVT-0008287,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0108,2026-07-20 10:49:59,False,True,repeated_denial
EVT-0000051,AP-01,Main Entrance,ZN-06,low,EMP-0076,2026-07-20 10:50:05,True,False,
EVT-0000049,AP-01,Main Entrance,ZN-06,low,EMP-0056,2026-07-20 10:50:12,True,False,
EVT-0008290,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0103,2026-07-20 10:50:14,True,False,
EVT-0008292,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0013,2026-07-20 10:50:17,True,False,
EVT-0008288,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0047,2026-07-20 10:50:33,True,False,
EVT-0008294,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0087,2026-07-20 10:50:54,True,False,
EVT-0008289,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0131,2026-07-20 10:52:13,True,False,
EVT-0000050,AP-01,Main Entrance,ZN-06,low,EMP-0003,2026-07-20 10:52:21,True,False,
EVT-0016299,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0047,2026-07-20 10:52:22,True,False,
EVT-0027052,AP-06,Loading Dock,,medium,EMP-0011,2026-07-20 10:52:59,True,False,
EVT-0016296,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0133,2026-07-20 10:53:06,True,False,
EVT-0008291,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0083,2026-07-20 10:53:41,True,False,
EVT-0016298,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0107,2026-07-20 10:54:03,True,False,
EVT-0016297,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0021,2026-07-20 10:54:24,True,False,
EVT-0008293,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0116,2026-07-20 10:54:27,True,False,
EVT-0024792,AP-05,Executive Wing Door,ZN-08,medium,EMP-0097,2026-07-20 10:54:34,True,False,
EVT-0029262,AP-07,Emergency Exit - East,,medium,EMP-0006,2026-07-20 10:54:36,True,False,
EVT-0008299,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0054,2026-07-20 10:55:39,False,False,
EVT-0008297,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0033,2026-07-20 10:55:40,True,False,
EVT-0016304,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0014,2026-07-20 10:55:41,True,False,
EVT-0029263,AP-07,Emergency Exit - East,,medium,EMP-0130,2026-07-20 10:55:58,True,False,
EVT-0016302,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0123,2026-07-20 10:56:03,True,False,
EVT-0027053,AP-06,Loading Dock,,medium,EMP-0067,2026-07-20 10:56:04,True,False,
EVT-0024793,AP-05,Executive Wing Door,ZN-08,medium,EMP-0090,2026-07-20 10:56:11,True,False,
EVT-0008295,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0066,2026-07-20 10:56:13,True,False,
EVT-0016301,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0067,2026-07-20 10:56:14,True,False,
EVT-0008298,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0101,2026-07-20 10:57:00,True,False,
EVT-0016300,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0075,2026-07-20 10:57:05,True,False,
EVT-0008301,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0036,2026-07-20 10:57:28,True,False,
EVT-0029265,AP-07,Emergency Exit - East,,medium,EMP-0080,2026-07-20 10:57:31,True,False,
EVT-0016303,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0084,2026-07-20 10:57:38,True,False,
EVT-0027054,AP-06,Loading Dock,,medium,EMP-0068,2026-07-20 10:59:18,True,False,
EVT-0029264,AP-07,Emergency Exit - East,,medium,EMP-0113,2026-07-20 10:59:30,True,False,
EVT-0008296,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0032,2026-07-20 10:59:49,True,False,
EVT-0008300,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0010,2026-07-20 10:59:53,True,False,
EVT-0016307,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0067,2026-07-20 11:00:11,True,False,
EVT-0027056,AP-06,Loading Dock,,medium,EMP-0119,2026-07-20 11:00:16,True,False,
EVT-0029266,AP-07,Emergency Exit - East,,medium,EMP-0030,2026-07-20 11:00:31,True,False,
EVT-0000054,AP-01,Main Entrance,ZN-06,low,EMP-0004,2026-07-20 11:00:33,True,False,
EVT-0024795,AP-05,Executive Wing Door,ZN-08,medium,EMP-0127,2026-07-20 11:01:09,True,False,
EVT-0024315,AP-04,Server Room Door,ZN-07,high,EMP-0028,2026-07-20 11:02:03,False,True,unauthorized_restricted_zone_access
EVT-0000052,AP-01,Main Entrance,ZN-06,low,EMP-0110,2026-07-20 11:02:17,True,False,
EVT-0024794,AP-05,Executive Wing Door,ZN-08,medium,EMP-0062,2026-07-20 11:02:40,True,False,
EVT-0016305,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0037,2026-07-20 11:02:44,True,False,
EVT-0016306,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0094,2026-07-20 11:02:57,True,False,
EVT-0008302,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0040,2026-07-20 11:03:49,True,False,
EVT-0000055,AP-01,Main Entrance,ZN-06,low,EMP-0039,2026-07-20 11:03:57,False,False,
EVT-0000053,AP-01,Main Entrance,ZN-06,low,EMP-0101,2026-07-20 11:04:52,True,False,
EVT-0027055,AP-06,Loading Dock,,medium,EMP-0131,2026-07-20 11:04:58,True,False,
EVT-0000060,AP-01,Main Entrance,ZN-06,low,EMP-0051,2026-07-20 11:05:35,True,False,
EVT-0016309,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0069,2026-07-20 11:06:00,True,False,
EVT-0027058,AP-06,Loading Dock,,medium,EMP-0070,2026-07-20 11:06:13,True,False,
EVT-0008306,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0023,2026-07-20 11:06:21,True,False,
EVT-0000061,AP-01,Main Entrance,ZN-06,low,EMP-0017,2026-07-20 11:06:28,True,False,
EVT-0008304,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0122,2026-07-20 11:06:30,True,False,
EVT-0016310,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0018,2026-07-20 11:06:53,True,False,
EVT-0008303,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0125,2026-07-20 11:06:56,True,False,
EVT-0029267,AP-07,Emergency Exit - East,,medium,EMP-0038,2026-07-20 11:06:57,True,False,
EVT-0000059,AP-01,Main Entrance,ZN-06,low,EMP-0017,2026-07-20 11:07:09,True,False,
EVT-0000058,AP-01,Main Entrance,ZN-06,low,EMP-0078,2026-07-20 11:07:24,True,False,
EVT-0008305,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0096,2026-07-20 11:08:51,True,False,
EVT-0000057,AP-01,Main Entrance,ZN-06,low,EMP-0124,2026-07-20 11:08:58,True,False,
EVT-0000062,AP-01,Main Entrance,ZN-06,low,EMP-0126,2026-07-20 11:09:05,True,False,
EVT-0000056,AP-01,Main Entrance,ZN-06,low,EMP-0058,2026-07-20 11:09:07,True,False,
EVT-0027057,AP-06,Loading Dock,,medium,EMP-0058,2026-07-20 11:09:40,True,False,
EVT-0016311,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0065,2026-07-20 11:09:50,True,False,
EVT-0016308,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0031,2026-07-20 11:09:53,True,False,
EVT-0000065,AP-01,Main Entrance,ZN-06,low,EMP-0109,2026-07-20 11:10:20,True,False,
EVT-0016312,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0011,2026-07-20 11:10:29,True,False,
EVT-0027059,AP-06,Loading Dock,,medium,EMP-0034,2026-07-20 11:10:56,True,False,
EVT-0000063,AP-01,Main Entrance,ZN-06,low,EMP-0110,2026-07-20 11:11:09,True,False,
EVT-0008310,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0034,2026-07-20 11:11:47,True,False,
EVT-0027060,AP-06,Loading Dock,,medium,EMP-0027,2026-07-20 11:12:02,True,False,
EVT-0000064,AP-01,Main Entrance,ZN-06,low,EMP-0013,2026-07-20 11:12:22,True,False,
EVT-0008309,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0046,2026-07-20 11:12:29,True,False,
EVT-0008308,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0087,2026-07-20 11:12:54,True,False,
EVT-0008307,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0100,2026-07-20 11:13:26,True,False,
EVT-0029268,AP-07,Emergency Exit - East,,medium,EMP-0117,2026-07-20 11:13:59,True,False,
EVT-0008311,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0069,2026-07-20 11:14:02,True,False,
EVT-0000068,AP-01,Main Entrance,ZN-06,low,EMP-0121,2026-07-20 11:15:01,True,False,
EVT-0000071,AP-01,Main Entrance,ZN-06,low,EMP-0038,2026-07-20 11:15:18,True,False,
EVT-0000067,AP-01,Main Entrance,ZN-06,low,EMP-0019,2026-07-20 11:15:20,True,False,
EVT-0016314,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0010,2026-07-20 11:15:37,True,False,
EVT-0000070,AP-01,Main Entrance,ZN-06,low,EMP-0062,2026-07-20 11:16:41,True,False,
EVT-0027062,AP-06,Loading Dock,,medium,EMP-0066,2026-07-20 11:16:59,True,False,
EVT-0008312,AP-02,Open Office Floor 1 Door,ZN-01,low,EMP-0133,2026-07-20 11:17:12,True,False,
EVT-0000069,AP-01,Main Entrance,ZN-06,low,EMP-0010,2026-07-20 11:17:17,True,False,
EVT-0027061,AP-06,Loading Dock,,medium,EMP-0060,2026-07-20 11:17:26,True,False,
EVT-0016315,AP-03,Open Office Floor 2 Door,ZN-02,low,EMP-0117,2026-07-20 11:17:33,True,False,
